date,family_members,male,female,children,household_type,appliance_type,brand,model,power_rating_watts,daily_usage_hours,quantity,energy_star_rating,peak_hour_usage,season,monthly_household_kwh
2024-01-04,6,1,5,0,joint,LED Bulb,Philips,12W SceneSwitch,12,12.0,4,2,True,Winter,600.0
2024-01-04,6,1,5,0,joint,Ceiling Fan,Usha,Technix 65W,65,8.4,3,5,False,Winter,600.0
2024-01-04,6,1,5,0,joint,Air Conditioner,Voltas,1.5T 183V Inverter,2000,1.2,2,4,False,Winter,600.0
2024-01-04,6,1,5,0,joint,Refrigerator,Samsung,386L RT39T5C3EDX,780,24.0,1,4,False,Winter,600.0
2024-01-04,6,1,5,0,joint,Television,Sony,43X74K,180,6.0,3,2,False,Winter,600.0
2024-01-04,6,1,5,0,joint,Washing Machine,LG,6.5kg FHM1065,500,2.5,1,2,True,Winter,600.0
2024-01-04,6,1,5,0,joint,Water Heater,Bajaj,15L Juvel,1500,4.5,2,5,True,Winter,600.0
2024-01-04,6,1,5,0,joint,Room Heater,Orient,Comfort HC2000D,2000,3.0,1,2,False,Winter,600.0
2024-01-04,6,1,5,0,joint,Water Pump,V-Guard,1.5HP Revo Max,370,0.7,1,2,True,Winter,600.0
2024-01-04,6,1,5,0,joint,Microwave Oven,Samsung,28L Conv CE1041DSB2,1400,0.5,1,3,False,Winter,600.0
2024-08-24,3,1,1,1,nuclear,LED Bulb,Wipro,10W Tejas,10,6.0,3,5,True,Monsoon,400.0
2024-08-24,3,1,1,1,nuclear,Ceiling Fan,Havells,Leganza 65W,65,12.0,3,5,True,Monsoon,400.0
2024-08-24,3,1,1,1,nuclear,Air Conditioner,Blue Star,1.5T 5Star IC518,2000,4.0,1,2,True,Monsoon,400.0
2024-08-24,3,1,1,1,nuclear,Refrigerator,LG,360L GL-T402JPZU,780,24.0,2,3,True,Monsoon,400.0
2024-08-24,3,1,1,1,nuclear,Television,OnePlus,65Y1S Pro,180,3.0,3,5,False,Monsoon,400.0
2024-08-24,3,1,1,1,nuclear,Washing Machine,Samsung,8kg WA80A4002VS,300,2.5,1,3,False,Monsoon,400.0
2024-08-24,3,1,1,1,nuclear,Water Heater,Havells,10L Adonia,1500,1.2,2,4,False,Monsoon,400.0
2024-08-24,3,1,1,1,nuclear,Room Heater,Morphy Richards,OFR 11F,1000,0.5,1,5,False,Monsoon,400.0
2024-08-24,3,1,1,1,nuclear,Water Pump,V-Guard,1.5HP Revo Max,370,1.0,1,2,False,Monsoon,400.0
